hashtag,day_0_retweets,day_0_followers,day_0_occurences,day_0_weekday,day_0_month,day_0_day,day_0_modehour,day_0_avghour,day_1_retweets,day_1_followers,day_1_occurences,day_1_weekday,day_1_month,day_1_day,day_1_modehour,day_1_avghour,day_2_retweets,day_2_followers,day_2_occurences,day_2_weekday,day_2_month,day_2_day,day_2_modehour,day_2_avghour,day_3_retweets,day_3_followers,day_3_occurences,day_3_weekday,day_3_month,day_3_day,day_3_modehour,day_3_avghour,day_4_retweets,day_4_followers,day_4_occurences,day_4_weekday,day_4_month,day_4_day,day_4_modehour,day_4_avghour,day_5_retweets,day_5_followers,day_5_occurences,day_5_weekday,day_5_month,day_5_day,day_5_modehour,day_5_avghour,ids
スパイダーマン,481666,34630,98,5,10,13,14,16.454545454545453,2260400,389281,531,6,10,14,3,8.63345864661654,447834,330527,193,0,10,15,22,22.170103092783506,231275,103570,98,1,10,16,23,22.767676767676768,627273,569304,398,2,10,17,10,12.581453634085213,116703,71465,99,3,10,18,16,19.2,1397
Tijuana,4435,4237286,77,5,10,13,23,22.384615384615383,8009,149482,89,6,10,14,22,20.92222222222222,1660,330521,93,0,10,15,22,21.404255319148938,23002,954488,298,1,10,16,23,20.39464882943144,5026,1180926,99,2,10,17,22,22.02,15691,1394789,394,3,10,18,15,18.878481012658227,94
長瀞秋の七草寺,1,743,1,5,10,13,0,11.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
สาวน้อยในตะเกียงแก้ว,14068,15657,83,5,10,13,6,9.214285714285714,7430,32159,67,6,10,14,9,9.014705882352942,5331,1762,13,0,10,15,0,11.071428571428571,9440,10702,55,1,10,16,16,11.571428571428571,9372,67902,98,2,10,17,14,14.929292929292929,66170,175957,203,3,10,18,15,12.96078431372549,47
GNCD,15048,64200,185,5,10,13,9,9.317204301075268,221231,737305,2197,6,10,14,14,15.314376706096452,146258,334484,1193,0,10,15,14,15.38860971524288,42998,112742,490,1,10,16,15,16.33604887983707,110912,346039,1201,2,10,17,13,9.252911813643927,33487,156191,447,3,10,18,14,10.611607142857142,580
wip,83209,4833757,1497,5,10,13,14,16.327770360480642,21303,3284492,997,6,10,14,15,18.493987975951903,8279,1905768,699,0,10,15,20,19.951428571428572,4505,588488,292,1,10,16,22,21.897610921501705,8691,69188,98,2,10,17,23,22.767676767676768,103131,5757264,1894,3,10,18,19,15.94406332453826,196
healthyfood,217,259667,90,5,10,13,23,21.857142857142858,12697,2359193,789,6,10,14,16,14.977215189873418,256,179305,99,0,10,15,23,22.12,10257,2688095,897,1,10,16,16,16.070155902004455,1647,675915,98,2,10,17,23,21.98989898989899,6939,1717128,599,3,10,18,16,17.543333333333333,299
listenlive,8,304690,51,5,10,13,23,22.557692307692307,54,328452,50,6,10,14,23,22.54901960784314,1,317560,43,0,10,15,23,22.477272727272727,2,343738,51,1,10,16,23,22.557692307692307,9,324779,45,2,10,17,23,22.5,6,359139,53,3,10,18,23,22.574074074074073,47
saflorapresent,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
minne_fav,1465,121138,100,5,10,13,23,22.306930693069308,7352,646413,498,6,10,14,13,13.723446893787575,5354,413963,292,0,10,15,12,16.225255972696246,16146,1348852,998,1,10,16,6,9.936936936936936,9904,1073870,797,2,10,17,12,12.19548872180451,2414,236107,198,3,10,18,13,16.959798994974875,840
PaseDeListaDel1al43,9770,204900,69,5,10,13,0,6.7,2293,51431,34,6,10,14,2,6.285714285714286,237372,1186152,497,0,10,15,4,12.485943775100402,106762,5127969,543,1,10,16,2,5.360294117647059,9378,822811,191,2,10,17,3,7.151041666666667,116405,779293,492,3,10,18,3,10.967545638945234,527
WaysICouldBeABetterPerson,0,0,0,0,0,0,0,0.0,40,39322,1,6,10,14,0,8.0,0,0,0,0,0,0,0,0.0,40,645,1,1,10,16,0,8.5,0,0,0,0,0,0,0,0.0,40,4794,1,3,10,18,0,2.5,0
ネコ,1967092,49304,98,5,10,13,23,22.767676767676768,683110,71798,91,6,10,14,23,22.75,363074,72033,82,0,10,15,23,22.72289156626506,227825,58574,84,1,10,16,23,22.729411764705883,133547,108175,94,2,10,17,23,22.757894736842104,109772,76379,82,3,10,18,23,22.72289156626506,85
ハリケーン,4671,1057569,65,5,10,13,6,8.545454545454545,1802,1850199,27,6,10,14,0,6.464285714285714,116,128926,22,0,10,15,3,8.782608695652174,157,6289,6,1,10,16,0,9.285714285714286,74,48770,15,2,10,17,20,15.4375,150,45396,19,3,10,18,5,5.35,5
Sony,62957,488906,197,5,10,13,23,22.227272727272727,7161,216227,97,6,10,14,23,22.591836734693878,39891,1285030,299,0,10,15,22,22.19,6362,489346,97,1,10,16,23,22.76530612244898,25479,1678162,389,2,10,17,22,21.120512820512822,4188,165307,97,3,10,18,23,22.448979591836736,180
ACUARIO,2767865,21560238,3750,5,10,13,13,12.12929885363903,1065160,14805956,1597,6,10,14,15,18.618272841051315,2044477,19398434,2800,0,10,15,16,16.40949660835416,1045043,7986811,1693,1,10,16,22,18.765643447461628,2044332,23689766,2963,2,10,17,22,15.341430499325236,3318406,22286827,3920,3,10,18,23,13.140780413159908,4829
PersebayaDay,35931,36706945,792,5,10,13,11,11.253467843631778,7285,47798,92,6,10,14,3,7.311827956989247,1816,153210,44,0,10,15,12,10.577777777777778,124,3359,8,1,10,16,6,8.11111111111111,127,185921,8,2,10,17,7,8.555555555555555,522,132471,20,3,10,18,12,10.19047619047619,54
anal,321,10042,6,5,10,13,23,19.714285714285715,25,14620,9,6,10,14,23,20.7,848,90,3,0,10,15,23,17.25,34,98021,6,1,10,16,23,19.714285714285715,5,2596,3,2,10,17,23,17.25,1588,11546,11,3,10,18,23,21.083333333333332,8
octubre,2031,1891877,295,5,10,13,22,21.027027027027028,4240,662778,98,6,10,14,23,22.292929292929294,7937,2457514,596,0,10,15,19,20.452261306532662,10995,8814414,896,1,10,16,18,19.645484949832777,918,326493,89,2,10,17,23,22.633333333333333,2183,4395888,300,3,10,18,21,21.674418604651162,99
Johnny,77918,43340,60,5,10,13,23,22.62295081967213,338248,174826,497,6,10,14,22,22.38152610441767,103394,48817,99,0,10,15,23,22.77,98693,21239,82,1,10,16,23,22.72289156626506,93357,39867,53,2,10,17,23,22.574074074074073,330172,182148,296,3,10,18,23,22.922558922558924,191
BTSV,76734,184351,493,5,10,13,23,22.329959514170042,14982,35537,94,6,10,14,23,22.757894736842104,374174,788658,1590,0,10,15,13,17.269641734758014,13691,64976,98,1,10,16,23,22.767676767676768,51189,145988,395,2,10,17,23,22.507575757575758,111196,264077,598,3,10,18,23,20.497495826377296,1598
putinovia,3,3183,3,5,10,13,0,15.0,0,1040,2,6,10,14,0,15.0,249,14363,6,0,10,15,16,15.428571428571429,27,10687,4,1,10,16,21,16.2,0,37,1,2,10,17,0,11.0,7,1519,5,3,10,18,16,13.333333333333334,3
大阪,4471,163687,98,5,10,13,23,22.767676767676768,13782,353426,290,6,10,14,23,22.621993127147768,12132,159171,92,0,10,15,23,22.752688172043012,43205,985655,594,1,10,16,23,22.242016806722688,15652,1047741,582,2,10,17,23,21.9811320754717,9853,543433,396,3,10,18,23,22.47103274559194,194
송민호,40654,236214,98,5,10,13,23,22.767676767676768,139355,513475,399,6,10,14,23,22.9425,567055,502647,994,0,10,15,16,18.738693467336685,1035486,1297739,1594,1,10,16,15,16.950470219435736,485265,941463,894,2,10,17,23,21.34748603351955,42526,186370,93,3,10,18,23,22.75531914893617,291
